"﻿Paragraph",Name,Hinweise,VL
1,Beginn der Rechtsfähigkeit,,1
2,Eintritt der Volljährigkeit,,1
7,Wohnsitz,,1
12,Namensrecht,z.B. Domain-Namen -> Beseitigung & Unterlassung,1
13,Verbraucher,,1
14,Unternehmer,,1
104-108,(beschränkte) Geschäftsfähigkeit,Ab 18. Geburtstag tritt die eigene Genehmigung an die Stelle des Vertreters,1
109,Widerrufsrecht des anderen Teils,Anderer Teil ist bei Minderjährigen zum Widerruf berechtigt.,5
110,Bewirken der Leistung mit eigenen Mitteln,"""Taschengeld” steht Minderjährigen zur freien Verfügung",5
112,Selbstständiger Betrieb eines Erwerbsgeschäfts,"Minderjähriger ist unbeschränkt geschäftsfähig, wenn gesetzlicher Vertreter ihn dazu ermächtigt.",5
113,Dienst- oder Arbeitsverhältnis,"Minderjähriger ist unbeschränkt geschäftsfähig beim Arbeiten, wenn der gesetzliche Vertreter ihn dazu ermächtigt.",5
119-120,"Anfechtbarkeit wegen Irrtums, falscher Übermittlung","Anfechtung möglich, wenn Irrtum über Sache oder Person vorliegt, oder falsche Erklärung durch Dritte (z.B. Computer-Programm) abgegeben wurde ",2
122,Schadensersatzpflicht des Anfechtenden,"Anfechtender muss Schaden ersetzen, wenn Anderer auf Gültigkeit vertraut",4
123,Anfechtbarkeit wegene Täuschung oder Drohung,"Wer zur Abgabe einer Willenserklärung wegen arglistiger Täuschung oder Drohung bewegt wird, kann diese anfechten",4
125,Nichtigkeit wegen Formmangels,"Rechtsgeschäft ist nichtig, wenn die richtige gesetzliche Form nicht eingehalten wurde.",5
126,Schriftform,,5
127,Vereinbarte Form,Die vereinbarte Form gilt bei Rechtsgeschäften ohne vorgeschriebene Form,5
127a,Gerichtlicher Vergleich,Richterliches Protokoll ersetzt notarielle Beurkundung,5
130,Wirksamwerden der Willenserklärung gegenüber Abwesenden,"Willenserklärung wird wirksam, ab dem Zeitpunkt, in dem sie ihm zugeht",2
133,Auslegung einer Willenserklärung,"Auslegung muss Sinn folgen, nicht Wortlaut",1
134-138,Veräußerungsverbote,"Rechtsgeschäfte sind nichtig, wenn sie gegen ein anderes Gesetz verstoßen (z.B. Leihmutterschaft)",2
139,Teilnichtigkeit,"Wenn ein Teil eines Rechtsgeschäfts nichtig ist, dann ist das gesamte Rechtsgeschäft nichtig, wenn es nicht ohne den nichtigen Teil vorgenommen werden kann.",3
142-143,"Anfechtungserklärung, Anfechtung","Wird ein Rechtsgeschäft angefochten, wird es von Anfang an als nichtig angesehen",2
145,Bindung an den Antrag,"Antrag = Angebot; IA0 (Invitatio at offerendo) = Kaufeinladung (Supermarkt, Tankstelle machen unverbindliche Werbung -> Kunde macht Angebot an Verkäufer)",1
153,Tod oder Geschäftsunfähigkeit des Antragenden,"Zustandekommen des Vertrags wird nicht verhindert, wenn Antragender vor Annahme stirbt",2
157,Auslegung von Verträgen,Auslegung nach Treu und Glauben der Verkehrssitte,1
241,Pflichten aus dem Schuldverhältnis,,2
241a,Unbestellte Leistungen,"Kein Anspruch gegen Verbraucher, wenn Waren nicht bestellt wurden",2
